capitulo_id,articulo_id,detalla
1,1,Objeto y Definiciones
1,2,Objeto y Definiciones
1,3,Objeto y Definiciones
2,4,De la constitución del Régimen de Propiedad Horizontal
2,5,De la constitución del Régimen de Propiedad Horizontal
2,6,De la constitución del Régimen de Propiedad Horizontal
2,7,De la constitución del Régimen de Propiedad Horizontal
2,8,De la constitución del Régimen de Propiedad Horizontal
3,9,De la extinción de la propiedad horizontal
3,10,De la extinción de la propiedad horizontal
3,11,De la extinción de la propiedad horizontal
3,12,De la extinción de la propiedad horizontal
4,13,De la reconstrucción del edificio o conjunto
4,14,De la reconstrucción del edificio o conjunto
4,15,De la reconstrucción del edificio o conjunto
5,16,De los bienes privados o de dominio particular
5,17,De los bienes privados o de dominio particular
5,18,De los bienes privados o de dominio particular
6,19,De los bienes comunes
6,20,De los bienes comunes
6,21,De los bienes comunes
6,22,De los bienes comunes
6,23,De los bienes comunes
6,24,De los bienes comunes
7,25,De los coeficientes de copropiedad
7,26,De los coeficientes de copropiedad
7,27,De los coeficientes de copropiedad
7,28,De los coeficientes de copropiedad
7,29,De los coeficientes de copropiedad
8,30,De la contribución a las expensas comunes
8,31,De la contribución a las expensas comunes
8,32,De la contribución a las expensas comunes
9,33,De la propiedad horizontal como persona jurídica
9,34,De la propiedad horizontal como persona jurídica
9,35,De la propiedad horizontal como persona jurídica
9,36,De la propiedad horizontal como persona jurídica
10,37,De la Asamblea General
10,38,De la Asamblea General
10,39,De la Asamblea General
10,40,De la Asamblea General
10,41,De la Asamblea General
10,42,De la Asamblea General
10,43,De la Asamblea General
10,44,De la Asamblea General
10,45,De la Asamblea General
10,46,De la Asamblea General
10,47,De la Asamblea General
10,48,De la Asamblea General
10,49,De la Asamblea General
11,50,Del administrador del edificio o conjunto
11,51,Del administrador del edificio o conjunto
12,52,Del Consejo de Administración
12,53,Del Consejo de Administración
12,54,Del Consejo de Administración
13,55,Del Revisor Fiscal del edificio o conjunto
13,56,Del Revisor Fiscal del edificio o conjunto
14,57,De la solución de conflictos
15,58,De las sanciones por incumplimiento de obligaciones no pecuniarias
15,59,De las sanciones por incumplimiento de obligaciones no pecuniarias
15,60,De las sanciones por incumplimiento de obligaciones no pecuniarias
16,61,Definición y naturaleza jurídica
16,62,Definición y naturaleza jurídica
17,63,Areas sociales comunes
17,64,Areas sociales comunes
17,65,Areas sociales comunes
17,66,Areas sociales comunes
17,67,Areas sociales comunes
17,68,Areas sociales comunes
17,69,Areas sociales comunes
17,70,Areas sociales comunes
18,71,Integración municipal
18,72,Integración municipal
18,73,Integración municipal
19,74,Participación comunitaria
19,75,Participación comunitaria
20,76,Obligaciones económicas
20,77,Obligaciones económicas
20,78,Obligaciones económicas
20,79,Obligaciones económicas
20,80,Obligaciones económicas
20,81,Obligaciones económicas
20,82,Obligaciones económicas
21,83,Disposiciones finales
21,84,Disposiciones finales
